DB_COLUMN,IPAC_COLUMN,DESCRIPTION,SQL_DATATYPE,INDEX,FOREIGNKEY
,sy_tmag_reflink,TESS Magnitude Reference,,,
,sy_kepmag,Kepler Magnitude,,,
,sy_kepmagerr1,Kepler Magnitude Upper Unc,,,
,sy_kepmagerr2,Kepler Magnitude Lower Unc,,,
,sy_kepmag_reflink,Kepler Magnitude Reference,,,
reference_target,,Reference target star (HOWFS or RDI),BOOLEAN,,
planet_host,,Known planet host star,BOOLEAN,,
disk_host,,Known disk host star,BOOLEAN,,
calibration_target,,Calibration target star,BOOLEAN,,
engineering_target,,Engineering target star,BOOLEAN,,
